Key,Id,Shared Comments,English (United States)(en-US),English (United States)(en-US) Comments,Korean (South Korea)(ko-KR),Korean (South Korea)(ko-KR) Comments
ui_dementia_quiz_9_explain,,,"Getting enough sleep helps prevent dementia. It's not about sleeping a lot, but about sleeping well. ",,"잠을 잘 자야, 치매 예방에 도움이 됩니다. 많이 자는 게 아니라 푹 자는 것이 중요합니다.",
ui_dementia_quiz_9_summary,,,You have to sleep well to prevent dementia. ,,잠을 푹 자야 치매 예방이 돼요.,
ui_dementia_quiz_10,,,Dementia patients lose old memories first. ,,치매에 걸리면 오래된 기억부터 사라진다,
ui_dementia_quiz_10_explain,,,Dementia patients lose recent memories first. ,,치매에 걸리면 최근 기억부터 사라집니다.,
ui_dementia_quiz_10_summary,,,Dementia leads to loss of recent memory. ,,치매는 최근 기억부터 사라지게 해요.,
ui_dementia_quiz_11,,,Dementia can be funded by the government. ,,치매는 국가에서 지원 받을 수 있다,
ui_dementia_quiz_11_explain,,,"If you have dementia, you can receive long-term care insurance from the government. ",,치매에 걸리면 국가에서 지원해 주는 장기요양보험으로 요양비를 받을 수 있습니다.,
ui_dementia_quiz_11_summary,,,Dementia can receive long-term care insurance. ,,치매는 장기요양보험으로 지원 받을 수 있어요.,
ui_dementia_quiz_12,,,Medical expenses can be received from the government.,,국가로부터 요양비를 지원 받을 수 있다,
ui_dementia_quiz_12_explain,,,"In addition to dementia support, you can also receive support for general nursing care expenses. ",,"치매 뿐만 아니라, 일반 요양비도 지원받을 수 있습니다.",
ui_dementia_quiz_12_summary,,,You can receive general nursing care expenses from the long-term care insurance. ,,장기요양보험으로 일반 요양비 지원도 가능해요.,
ui_diagnosis_quiz_0,,,What season is it now? ,,지금은 무슨 계절입니까?,
ui_diagnosis_quiz_0_answers,,,"Spring, Summer, Fall, Winter",,"봄, 여름, 가을, 겨울",
ui_diagnosis_quiz_1,,,What month is it now? ,,지금은 몇 월 입니까?,
ui_diagnosis_quiz_2,,,What day is it today?,,오늘은 며칠입니까?,
ui_diagnosis_quiz_3_guide,,,Remember the pictures below for 10 seconds. ,,10초 동안 아래 그림들을 기억해 주세요,
ui_diagnosis_quiz_3,,,Choose the pictures that you just saw!,,방금 봤던 그림들을 고르세요!,
ui_diagnosis_quiz_4,,,Subtract {0} from 100,,100에서 {0}을 빼면,
ui_diagnosis_quiz_5,,,Subtract {0} from the previous answer,,이전 답에서 {0}을 빼면?,
ui_diagnosis_quiz_6,,,Choose the pictures that you have memorized again. ,,아까 외운 그림 3개를 다시 고르세요,
ui_diagnosis_quiz_7,,,What is the name of this object? ,,이것의 이름은 무엇입니까?,
ui_diagnosis_quiz_7_answers,,,"Wheel, Grape, Pencil, Scoop",,"바퀴, 포도, 연필, 국자",
ui_diagnosis_quiz_8,,,What would it look like if you see this object from the front?,,앞에서 보면 어떤 모습일까요?,
ui_diagnosis_quiz_9,,,Is this object for cleaning? ,,청소할 때 쓰는 물건입니까?,
ui_diagnosis_quiz_10,,,Is this object for eating?,,음식을 먹을 때 사용하는 물건입니까?,
ui_test_categories,,,"Response speed, visual rotation, response inhibition",,"반응속도,심상회전, 반응억제",
ui_imig_guide_0,,,A circle will appear in the middle of screen. Focus on the screen and click the button below as soon as the circle appears. ,,화면 가운데에 동그라미가 나타납니다. 화면을 집중하여 잘보고 있다가 동그라미가 나오면 재빠르게 아래에 있는 확인 버튼을 누르세요.,
ui_imig_guide_1,,,"Good job. Now a picture of a hand will appear. When the hand appears on screen, select if the hand is left or right as soon as possible. ",,잘 하셨습니다. 이번에는 손바닥 사진을 보여드릴겁니다. 화면에 손바닥이 나타나면 왼손인지 오른손인지를 빠르게 눌러주세요.,
ui_imig_guide_2,,,"Good job. Now a shape will appear. Look closely and when the triangle shape appears, quickly press the triangle. ",,잘 하셨습니다. 이번에는 화면에 도형이 나타납니다. 잘 보고 있다가 삼각형 도형이 나타나면 재빠르게 삼각형을 누르시면 됩니다.,
ui_imig_guide_3,,,"A circle will appear here. Look closely and as soon as the circle appears, press the confirm button below. ",,이곳에 원이 나타날 것입니다. 집중하여 보고 있다가 원이 나오는 즉시 아래의 확인 버튼을 누르세요.,{0} 무시
ui_imig_guide_4,,,Press the left hand button if you think the hand that appears is a left hand. ,,나타나는 손바닥이 왼손이라고 생각하면 다음의 왼손 버튼을 누르세요.,{0} 무시
ui_imig_guide_5,,,Press the triangle when the triangle shapes appear. Do not press other shapes!,,삼각형이 나올 때만 재빠르게 삼각형을 누르세요. 다른 모양의 도형은 누르지 마세요!,
ui_imig_guide_6,,,Good job. {0} will appear three times in total. It will begin now. Focus!,,잘 하셨습니다. {0}은 총 3 번 나타납니다. 이제 시작합니다. 집중하세요!,
ui_imig_guide_6_options,,,"Circle, Hand",,"원, 손바닥",
ui_start,,,"Begin, Start Smartcare",,"시작, 스마케어 시작하기",
ui_imig_guide_7,,,Great job. Begin now. Focus!,,잘 하셨습니다. 이제 시작합니다. 집중하세요!,
ui_imig_guide_comment_0,,,Press after the circle appears.,,원이 나온 후에 눌러주세요,
ui_imig_guide_comment_1,,,It's a left hand. Please be careful. ,,왼손입니다. 유의해 주세요.,
ui_imig_guide_comment_2,,,Press after the picture of hand appears. ,,손 그림이 나온 후에 눌러주세요,
ui_imig_guide_comment_3,,,Press the triangle! ,,삼각형을 누르세요!,
ui_imig_courage_0,,,Great job. Only press the triangle!,,잘하셨습니다. 삼각형만 누르세요!,
ui_imig_result_titles,,,"Risk, High risk",,"위 험, 고도 위험",
ui_imig_result_0,,,"The result of motor imagery test indicates that you are at high risk for mild cognitive impairment. If cognitive decline continues due to mild cognitive impairment, the risk of dementia is high. Please consult with a specialist. Continuous cognitive training can alleviate mild cognitive impairment. ",,"운동 심상 테스트 결과 귀하는 경도인지장애 고도위험 추정입니다. 경도인지장애로 인지저하가 지속 될 시, 치매 위험도가 높습니다. 전문의에게 상세한 진단을 받아보세요. 꾸준한 인지훈련은 경도인지장애를 완화할 수 있습니다.",
ui_imig_result_1,,,"The result of motor imagery test indicates that you are in a risk group for mild cognitive impairment. Mild cognitive impairment is a stage in which cognitive decline progresses, but can be overcome through consistent cognitive training and lifestyle improvement. Begin training now with Smartcare's cognitive training. ",,운동 심상 테스트 결과 귀하는 경도인지장애 위험군 추정입니다. 경도인지장애는 인지저하가 진행되는 단계로 꾸준한 인지 훈련과 생활습관 개선을 통해 극복할 수 있습니다. 지금 스마케어의 인지 훈련을 통해 훈련을 진행하세요.,
ui_orientation_guide_0,,,"A calender will appear when the test begins. If you move your finger while pressing the calender, you can check the calenders of previous month and next month. ",,검사 시작 시 달력이 등장합니다. 달력을 누르신 상태에서 손가락을 움직이면 이전달과 다음 달 달력을 확인 할 수 있습니다.,
ui_orientation_guide_1,,,Move to the right while pressing on the calender. ,,달력을 누르신 상태에서 오른쪽으로 움직여 보세요.,
ui_orientation_guide_2,,,"Now, move to the left while pressing on the calender. ",,이번엔 달력을 누른 상태에서 왼쪽으로 움직여 보세요.,
ui_orientation_guide_3,,,You will find that you came back to the original calender. ,,다시 원래 달력으로 돌아오신 것을 확인할 수 있습니다.,
ui_orientation_day_of_week,,,"Sunday, Monday, TuesDay, Wednesday, Thursday, Friday, Saturday",,"일요일, 월요일, 화요일, 수요일, 목요일, 금요일, 토요일",
ui_orientation_quest_0,,,What month and day is {0} from today?,,오늘로부터 {0}는 몇 월 몇 일 입니까?,
ui_orientation_quest_options,,,"A week later, ten days ago, two weeks later, 3 days later, 5 days ago, ten days later, one week later, ten days ago",,"일주일 후, 열흘 전, 보름 후, 3일 후, 5일 전, 열흘 후, 일주일 후, 열흘 전",
ui_orientation_quest_1,,,How many days are left in this month?,,이번 달은 며칠이 남아있나요?,
ui_orientation_result_0,,,The result of orientation test indicates that your cognitive state is normal. Maintain healthy brain through various cognitive training provided by the Smartcare. ,,지남력 테스트 결과 귀하의 인지 상태는 정상 추정입니다. 스마케어가 제공하는 다양한 인지 훈련을 통해 건강한 뇌를 유지하세요!,
ui_orientation_result_1,,,"The result of orientation test indicates that you are at risk for mild cognitive impairment. Mild cognitive impairment is a stage in which cognitive decline progressess, but can be overcome through consistent cognitive training and lifestyle improvement. Begin training now with Smartcare's cognitive training. ",,지남력 테스트 결과 귀하는 경도인지장애 위험군 추정입니다. 경도인지장애는 인지저하가 진행되는 단계로 꾸준한 인지 훈련과 생활습관 개선을 통해 극복할 수 있습니다. 지금 스마케어의 인지 훈련을 통해 훈련을 진행하세요.,
ui_orientation_result_2,,,"The result of orientation test indicates that you are at high risk for mild cognitive impairment. If cognitive decline continues due to mild cognitive impairment, the risk of dementia is high. Please consult with a specialist. Continuous cognitive training can alleviate mild cognitive impairment. ",,지남력 테스트 결과 귀하는 경도인지장애 고도위험 추정입니다.경도인지장애로 인지저하가 지속될 시 치매 위험도가 높습니다. 전문의에게 상세한 진단을 받아보세요. 꾸준한 인지훈련은 경도인지장애를 완화할 수 있습니다.,
ui_game_tutorial_quit,,,Do you want to end the practice mode? ,,연습모드를 종료하시겠습니까?,
ui_game_select_level,,,Please select the difficulty level. ,,난이도를 선택해 주세요,
ui_game_result_labels,,,"Continue playing game, Play a different game",,"게임 계속 하기, 다른 게임 하기",
ui_game_tutorial_status,,,"Practice mode, Skip",,"연습모드, 넘어가기",
ui_game_need_ability,,,This game requires following abilities.,,이 게임은 아래의 능력을 요합니다.,
ui_game_start_labels,,,"Game explanation, Begin, Ready",,"게임 설명, 시작 하기, 준비",
ui_game_ability_format,,,This game activates brain's {0} and helps with {1},,이 게임은 뇌의 {0}을 자극하여 {1}에 도움을 줍니다.,
ui_game_ability_0,,,"Temporal and frontal lobe, improving memory",,"측두엽과 전두엽, 기억력 향상",
ui_game_ability_1,,,"Frontal and posterior lobe, improving attention",,"전두엽과 후두엽, 집중력 향상",
ui_game_ability_2,,,"Temporal and frontal lobe, improving language skills",,"측두엽과 전두엽, 언어력 향상",
ui_game_ability_3,,,"Frontal lobe, improving calculation skills",,"전두엽, 계산력 향상",
ui_game_ability_4,,,"Temporal lobe, improving processing speed",,"측두엽, 처리속도 향상",
ui_game_ability_5,,,"Parietal lobe, improving spatial perception skill ",,"두정엽, 공간지각능력 향상",
ui_game_ability_6,,,"Parietal lobe, improving attention",,"두정엽, 집중력 향상",
game_memory_spell,,,"A, B, C, D, E, F, G, H, I",,"가, 나, 다, 라, 마, 바, 사, 아, 자",
game_memory_guide_0,,,Please remember the number and alphabet in order and press them in order. ,,숫자와 한글을 순서대로 기억한 후 차례대로 눌러주세요.,
game_memory_guide_1,,,Welcome to 'Memory Pang Pang'!,,메모리팡팡에 오신 것을 환영합니다!,
game_memory_guide_2,,,Please remember the location of numbers from 1 to 3. ,,1 부터 3 까지의 숫자의 위치를 기억하세요.,
game_memory_guide_3,,,"If you are done memorizing, please click 'Begin' button. ",,다 외웠으면 '시작'버튼을 눌러주세요.,
game_memory_guide_4,,,Please press the numbers that you just memorized in order. ,,방금 외운 숫자를 차례대로 눌러주세요.,
game_memory_guide_5,,,Please remember the location of alphabets from 'A' to 'D',,가'부터 '라'까지의 글자의 위치를 기억하세요,
game_memory_guide_6,,,"If you are done memorizing, please click 'Begin' button. ",,다 외웠으면 '시작'버튼을 눌러주세요.,
game_memory_guide_7,,,Please press the alphabets that you just memorized in order. ,,방금 외운 글자를 차례대로 눌러주세요.,
game_attention_guide_0,,,"If the picture or the color of alphabet above matches the meaning of the word below, press 'O,' if not, press 'X.'",,"위에 있는 그림 또는 글자의 색깔이 아래에 있는 글자의 뜻과 일치하면 'O', 일치하지 않으면 'X'를 눌러주세요.",
game_attention_guide_1,,,Welcome to 'Colorful OX'!,,알록달록 OX 에 오신것을 환영합니다!,
game_attention_guide_2,,,Does the color of the picture above matches the meaning of the word below?,,위 그림의 색깔이 아래 단어의 뜻과 일치하나요?,
game_attention_guide_3,,,What about now?,,이런 경우는 어떤가요?,
game_attention_color,,,"Red, Yellow, Green, Blue",,"빨 강, 노 랑, 초 록, 파 랑",
game_language_guide_0,,,Please click the correct name looking at the picture. ,,그림을 보고 알맞은 이름을 눌러주세요.,
game_language_guide_1,,,Welcome to 'Figure out the name',,이름 알아 맞추기에 오신 것을 환영합니다.,
game_language_guide_2,,,"Find the word that matches the picture, and press in order. ",,그림의 뜻에 맞는 글자를 찾아 순서대로 눌러주세요.,
game_language_guide_3,,,"If you have pressed the wrong word, please press the same word again. ",,글자를 잘못 눌렀을 경우 해당 글자를 다시 눌러주세요.,
game_language_tutorial,,,"Bag, Hat, Shoes",,"가, 모, 자, 방, 신, 발",
game_calculation_guide_0,,,Look at the numbers and click the answer after adding or subtracting. ,,숫자를 보고 더하기와 빼기를 한 뒤 답을 눌러주세요.,
game_calculation_guide_1,,,Welcome to 'Add/Subtract',,더하기 빼기에 오신것을 환영합니다.,
game_calculation_guide_2,,,Calculate the equation inside the cloud.  ,,구름 안의 식을 연산하세요.,
game_calculation_guide_3,,,"After clicking on the answer, please press the 'next question' button. ",,정답을 누른뒤에는 꼭 '다음문제' 버튼을 눌러주세요,
game_perceptivity_guide_0,,,Find a leaf that is different in shape. ,,모양이 다른 한 가지 나뭇잎을 찾아주세요.,
game_perceptivity_guide_1,,,Welcome to 'Find the different shape' ,,다른 모양 찾기에 오신것을 환영합니다.,
game_perceptivity_guide_2,,,Only one of the leaves has a different shape. ,,한 개의 잎만 모양이 다릅니다.,
game_perceptivity_guide_3,,,Look closely. ,,잘 살펴보세요.,
game_perceptivity_guide_4,,,It is now covered. ,,이제 가려집니다.,
game_perceptivity_guide_5,,,Do you remember where the different leaf is? ,,방금 기억한 다른 잎이 어디에 있었나요?,
game_perceptivity_guide_6,,,"Now, you have to find it in time. ",,이번에는 시간 안에 찾으셔야 합니다.,
game_perceptivity_guide_7,,,Look closely when the different leaf appears. ,,다른 잎이 나오는 부분을 잘 살펴보세요.,
game_perceptivity_guide_8,,,It is now covered. ,,이제 가려집니다.,
game_perceptivity_guide_9,,,Choose the area where the different leaf appeared. ,,방금 기억한 다른 잎이 나타났던 부분을 골라주세요.,
game_gostop_guide_0,,,Remember the card that you have and choose the card that you can get. ,,내가 가진 패를 기억한 뒤에 내 패로 먹을 수 있는 패를 선택해주세요.,
game_gostop_guide_1,,,Welcome to 'Which card should I get?',,무슨 패를 먹을까에 오신 것을 환영합니다.,
game_gostop_guide_2,,,Remember the card that you are holding. ,,손에 쥐고 있는 패를 기억하세요,
game_gostop_guide_3,,,Did you remember?,,기억하셨나요?,
game_gostop_guide_4,,,"Now, I will show you the cards on the floor. ",,이제 바닥에 깔린 패를 보여드립니다.,
game_gostop_guide_5,,,Remember the card that you were holding and choose the card that you can get. ,,손에 쥐고 있던 패로 먹을 수 있는 패를 고르세요.,
game_compare_guide_0,,,Choose an animal that is bigger in size. ,,실제로 더 큰 동물을 선택해주세요.,
game_compare_guide_1,,,Welcome to 'Who's bigger?' ,,누가 더 클까? 에 오신 것을 환영합니다.,
game_compare_guide_2,,,Choose an animal that is bigger in real size regardless of the size of the picture. ,,사진 크기와 상관없이 실제로 더 큰 동물을 골라주세요.,
game_baduk_guide_0,,,Remember the location of the black stone and click on it. ,,검은 돌의 위치를 기억하고 눌러주세요.,
game_baduk_guide_1,,,Welcome to 'Find the black stone!' ,,검은 돌을 찾아라! 에 오신 것을 환영합니다.,
game_baduk_guide_2,,,Remember where the black stone is. ,,검은 바둑돌이 어디 있는지 기억하세요.,
game_baduk_guide_3,,,It will now disappear. Please find the black stone that you just remembered. ,,이제 사라집니다. 방금 기억한 검은 돌을 찾아주세요.,
game_baduk_guide_4,,,There will be more stones now. Remember where black stones are! ,,점점 더 많아 집니다. 검은 바둑돌이 어디 있는지 기억하세요!,
game_baduk_guide_5,,,It will now disappear. Please find the black stone that you just remembered. ,,이제 사라집니다. 방금 기억한 검은 돌을 찾아주세요.,
game_baduk_guide_6,,,Remember the location of the black stone. ,,검은 돌의 위치를 기억하세요,
game_hand_guide_0,,,Look at the shape of the hand carefully and guess whether it is left or right hand.,,손의 모양을 잘 보고 왼손인지 오른손인지 맞춰주세요.,
game_hand_guide_1,,,"Welcome to 'Which hand is it?"" ",,어느쪽 손일까? 에 오신 것을 환영합니다,
game_hand_guide_2,,,"The turntable is spinning. When it stops spinning, focus on the picture!",,회전판이 돌아갑니다. 회전이 멈추면 그림에 집중하세요!,
game_hand_guide_3,,,Is the stopped hand the left hand or the right hand? ,,멈춘 손 모양이 왼손일까요? 오른손일까요?,
game_hand_guide_4,,,Now the angle of the hand will be different. ,,이제 손의 각도가 달라집니다.,
game_hand_direction,,,"Left hand, Right hand ",,"왼손, 오른손",
game_jewel_guide_0,,,Look carefully at the types and numbers of jewels passing and dig up the appropriate ones. ,,지나가는 보석의 종류와 개수를 잘 보고 알맞은 보석을 캐 주세요.,
game_jewel_guide_1,,,Welcome to the 'Let's dig for gems' game,,보석을 캐자에 오신 것을 환영합니다.,
game_jewel_guide_2,,,A cart with jewels is passing. Focus on the jewels. ,,보석을 담은 수레가 지나갑니다. 보석에 집중하세요,
game_jewel_guide_3,,,Did you see the shape and number of jewels? Dig up the jewels that you just saw. ,,보석의 모양과 개수를 잘 보셨나요? 방금 본 보석을 캐주세요,
game_direction_guide_0,,,There is only one picture that is facing the other way. Please find it and click on it. ,,한 가지만 보고 있는 방향이 다릅니다. 찾아서 클릭해주세요.,
game_direction_guide_1,,,Welcome to the 'Find the different direction!' ,,다른 방향을 찾아라! 에 오신 것을 환영합니다.,
game_direction_guide_2,,,Look carefully at the pictures on the board. Only one of them is different in direction. ,,칠판의 그림을 잘 보세요. 이 중 하나의 그림만 방향이 다릅니다.,
game_direction_guide_3,,,Rotate the pictrures in your head so that they stand upright. Which picture is facing the other way? ,,그림들을 머릿속으로 회전시켜 똑바로 세워주세요. 어떤 그림이 다른 쪽을 보고있나요?,
game_direction_guide_4,,,Now the pictures will change. ,,이제 그림이 달라집니다.,
game_direction_labels,,,"Answer, Direction",,"답, 방향",
game_word_guide_0,,,"Complete the word by pressing the consonants and vowels in order. However, the color of the letters must match. ",,"단어의 자음과 모음을 순서대로 눌러 단어를 완성해 주세요. 단, 글자의 색깔까지 일치해야 합니다.",
game_word_guide_1,,,Welcome to the 'Word catch' game. ,,단어 잡기 게임에 오신 것을 환영합니다.,
game_word_guide_2,,,Complete the words written on the sign by combining consonants and vowels. ,,자음과 모음을 조합하여 팻말에 적힌 단어를 완성해주세요.,
game_word_guide_3,,,"When the hole opens, words will appear. Click on them before they disappear!",,구멍이 열리면 글자들이 나타나요. 사라지기 전에 빠르게 눌러주세요!,
game_word_guide_4,,,"If you are wrong, it will start over from the beginning of the syllable that you were guessing. ",,틀릴 경우 맞추던 음절의 처음부터 다시 시작합니다.,
game_order_menu,,,"Coke, Cider, Grape juice, Orange juice, Strawberry juice, Jajangmyeon, Omelet, Spaghetti, Ricecake dumpling soup, Bibimbap,
Jjambbong, Kimchi stew, Pork belly, Chicken, Yukgaejang, Fried rice, Donkatsu, Janchi noodles, Sushi, Makguksu, Tteokbokki, Gimbap, Fried food, Bindaetteok, Bossam,
Sundae, Udon, Bone haejangguk, Japchae, Jokbal, Fish cake, Ramen, Kimchi dumpling, Bulgogi, Sundae soup, Fried dumpling, Rice soup, Noodle, Kimchi pancake, Naengmyeon,
Meat dumplings, Rice balls, Sujebi, Squid sundae, Bibim naengmyeon",,"콜라, 사이다, 포도주스, 오렌지주스, 딸기주스, 짜장면, 오므라이스, 스파게티, 떡만두국, 비빔밥,
짬뽕, 김치찌개, 삼겹살, 치킨, 육개장, 볶음밥, 돈까스, 잔치국수, 초밥, 막국수, 떡볶이, 김밥, 튀김, 빈대떡, 보쌈,
순대, 우동, 뼈해장국, 잡채, 족발, 어묵, 라면, 김치만두, 불고기, 순대국, 군만두, 국밥, 칼국수, 김치전, 물냉면,
고기만두, 주먹밥, 수제비, 오징어순대, 비빔냉면",
game_order_guide_0,,,Please read the bill carefully and pay for the food. ,,계산서를 잘 보고 음식 값을 계산해주세요.,
game_order_guide_1,,,Busy lunch time! Please check the bill and calculate quickly. ,,바쁜 점심시간! 주문서를 보고 빠르게 계산해주세요.,
game_order_guide_2,,,Add up the cost of the food and remember it. ,,음식 값을 모두 더한 후 기억해주세요,
game_order_guide_3,,,"Now, look carefully at the discount amount. ",,이번엔 할인 금액을 잘 살펴보세요,
game_order_guide_4,,,Subtract the discount amount from the cost of the food you just calculated. How much is the total?,,아까 계산한 음식 값에서 할인 금액을 빼 주세요. 총 얼마인가요?,
game_order_discount_0,,,Free beverage provided,,음료수 무료 서비스 제공,
game_order_discount_1,,,Openning sale ,,오픈기념 할인,
game_order_money_unit,,,Won,,원,
game_order_discount_2,,,Takeout order discount,,포장 주문 할인,
game_opt_sprite_labels,,,"Doctor, House, Flower, Dog",,"닥터, 집, 꽃, 개",
game_opt_guide_0,,,Please look carefully at the direction the doctor is looking and choose the location of the object. ,,닥터가 바라보는 방향을 잘 보고 사물의 위치를 선택해주세요.,
game_opt_guide_1,,,You are strolling the neighborhood. You see many things! ,,동네를 산책하며 천천히 걷고 있어요. 많은 것들이 보이네요!,
game_opt_guide_2,,,The doctor is looking at the house. ,,닥터가 집을 바라보고 있다고 생각해보세요.,
game_opt_guide_3,,,"When the doctor is looking at the flower, where is the house? ",,"닥터가 꽃을 바라보고 있을 때, 집은 어디에 있을까요?",
game_opt_guide_4,,,"Where on the four sides of the circle will the dog be? When you are ready, click Next. ",,그 때 개는 원의 네 면 중 어디에 있을까요? 준비가 되셨으면 다음을 눌러주세요.,
game_opt_guide_5,,,"When the doctor is looking at {0}, which side the {1} be?",,"닥터가 {0}을 바라보고 있을 때, {1}은 어느 쪽에 있을까요?",
game_opt_guide_6,,,"Reference point, doctor location, target location ",,"기준점 위치, 의사 위치, 대상 위치",
game_matching_guide_0,,,There are two identical pictures. Find the identical pictures and click on them. ,,서로 같은 그림이 두 장씩 있습니다. 같은 그림을 찾아 눌러주세요.,
game_matching_guide_1,,,Look at the pictures carefully. There are two identical pictures. ,,그림을 잘 보세요. 똑같은 그림이 두 장씩 있습니다.,
game_matching_guide_2,,,"If you are done memorizing the locations of all the pictures, click the 'Begin' buttom below.",,그림의 위치를 다 외웠으면 아래 '시작하기' 버튼을 눌러주세요,
game_matching_guide_3,,,Please find and press the cards with the same picture.,,같은 그림의 카드를 찾아 눌러주세요,
game_matching_guide_4,,,"If you don't remember the picture you first saw, click 'View Hint' below. ",,처음 봤던 그림이 생각나지 않을 땐 아래의 '힌트보기'를 눌러주세요.,
game_matching_guide_5,,,Find the other two pairs of pictures. ,,다른 두 짝의 그림도 마저 찾아주세요.,
game_proverb_guide_0,,,Choose the correct word to complete the given proverb. ,,"알맞은 단어를 골라, 주어진 속담을 완성해주세요.",
game_proverb_guide_1,,,Welcome to the 'Complete the proverb' game. ,,속담 완성하기 게임에 오신 것을 환영합니다.,
game_proverb_guide_2,,,Find a word that fills in the blank space to complete the proverb. ,,빈 칸에 들어갈 단어를 골라 속담을 완성해주세요.,
game_proverb_guide_3,,,"If you click the wrong answer, you will lose a heart! If you are out of the hearts, the game is over. ",,틀린 답을 누르면 하트가 사라져요! 하트가 모두 소진되면 게임이 끝납니다.,
game_proverb_guide_4,,,Great job. Please fill in the next blank space. ,,잘 하셨습니다. 계속해서 다음 빈칸을 채워주세요.,
game_proverb_guide_5,,,"Well done. Once you've finished all the questions, you can check the meaning of the proverb. ",,잘 하셨습니다. 모든 문제가 끝나면 속담의 뜻을 확인할 수 있어요.,
game_proverb_guide_6,,,Good job. Now for the real problem. ,,잘 하셨습니다. 이제 실전 문제입니다.,"{0}, {1} 무시"
game_proverb_guide_7,,,Press the button only when you see the target. ,,목표 대상이 나타날 때만 버튼을 눌러주세요.,
game_push_categories,,,"Car, Bicycle, Object, Vehicle, Animal",,"자동차, 자전거, 사물, 탈 것, 동물",
game_push_targets,,,"Car, Biycycle, Airplane, Ship, Motorcycle, Tiller, Bus, Dog, Rabbit, Cat, Tiger, Chicken, Bear, Pig, Cow, Sheep, Squirrel, Turtle, Duck, Chair, Desk, Bed, Sofa, ag, Cup, Cleaner",,"자동차, 자전거, 비행기, 배, 오토바이, 경운기, 버스, 강아지, 토끼, 고양이, 호랑이, 닭, 곰, 돼지, 소, 양, 다람쥐, 거북이, 오리, 의자, 책상, 침대, 소파, 가방, 컵, 청소기",
game_push_guide_0,,,Press the button only when {0} appears!,,{0}이(가) 나올때만 버튼을 눌러주세요!,
game_push_guide_1,,,Press the button only when you see the target. ,,목표 대상이 나타날 때만 버튼을 눌러주세요.,
game_push_guide_2,,,Welcome to the 'Press the button!' game. ,,버튼을 눌러라! 게임에 오신것을 환영합니다.,
game_push_guide_3,,,"From now on, pictures of cars and dogs will appear one after another. ",,지금부터 자동차와 강아지 사진이 차례로 나옵니다,
game_push_guide_4,,,Press the button only when a car appears. ,,자동차가 나올때만 버튼을 눌러주세요!,
game_push_guide_5,,,Great job! Don't press the button when a dog appears!,,잘 하셨습니다! 강아지가 나올때는 버튼을 누르지 마세요!,
game_push_guide_6,,,Well done. Let's try again. ,,잘 하셨습니다. 다시 한번 해보겠습니다.,
game_push_guide_7,,,Great job! Don't press the button when a dog appears!,,잘 하셨습니다! 강아지가 나올때는 버튼을 누르지마세요!,
game_push_guide_8,,,Good job. Now for the real problem. ,,잘 하셨습니다. 이제 실전 문제입니다.,
game_push_guide_9,,,Don’t press the button when a dog appears!,,강아지가 나올 땐 버튼을 누르시면 안되요!,
game_who_is_it_questions,,,"Age, Occupation, Hobbies, Number of children, Name, Gender, Background",,"나이, 직업, 취미, 자녀수, 이름, 성별, 배경",
game_who_is_it_guide_0,,,What is wrong about {0}? What is correct about {0}?,,"{0}씨에 대해 틀린 것은?, {0}씨에 대해 맞는 것은?",
game_who_is_it_guide_1,,,Welcome to the 'Who is it?' game. ,,누구일까요? 게임에 오신 것을 환영합니다.,
game_who_is_it_guide_2,,,Remember the age and occupation of the person. ,,"인물의 나이, 직업을 기억해 주세요.",
game_who_is_it_guide_3,,,Shall we solve the problem? ,,이제 문제를 풀어볼까요?,
game_who_is_it_guide_4,,,Good job. How about this game? ,,잘 하셨습니다. 그렇다면 이런 게임은 어떨까요?,
game_who_is_it_guide_5,,,"Remember the age, occupation, hobbies of the person. ",,"인물의 나이, 직업, 취미를 기억해 주세요",
game_who_is_it_guide_6,,,Shall we solve the problem? ,,이제 문제를 풀어볼까요?,
game_who_is_it_guide_7,,,Good job. Now for the real problem. ,,잘 하셨습니다. 이제 실전 문제입니다.,
game_who_is_it_guide_8,,,Remember the correct information and solve the problem. ,,올바른 정보를 기억하여 문제를 맞춰 주세요.,
game_where_is_it_guide_0,,,Welcome to the 'Where is it?' game. ,,어디에 있을까 게임에 오신 것을 환영합니다.,
game_where_is_it_guide_1,,,This problem is to select all objects used in the places that appear on the screen. ,,화면에 나타나는 장소에서 쓰이는 물체를 모두 고르는 문제입니다.,
game_where_is_it_guide_2,,,Select all the items used in the place you just saw. ,,방금 보셨던 장소에서 쓰이는 물건을 모두 선택하세요.,
game_where_is_it_guide_3,,,Items will become invisible after a certain amount of time. Focus!,,물건은 일정시간이 지나면 볼 수 없습니다. 집중하세요!,
game_where_is_it_guide_4,,,Shall we solve the problem? ,,이제 문제를 풀어볼까요?,
game_where_is_it_guide_5,,,Good job. Now for the real problem. ,,잘 하셨습니다. 이제 실전 문제입니다.,
game_where_is_it_guide_6,,,Choose an appropriate object for the situation. ,,주변 상황에 알맞은 물건을 골라주세요.,
game_where_is_it_outdoor,,,"Chicken, Tree, Bicycle, Pot, Broom, Firewood, Shovel, Cultivator, Gate",,"닭, 나무, 자전거, 장독대, 빗자루, 장작, 삽, 경운기, 대문",
