Key,Id,Shared Comments,English (United States)(en-US),English (United States)(en-US) Comments,Korean (South Korea)(ko-KR),Korean (South Korea)(ko-KR) Comments
ui_know_dementia_description_4,,,"<color=#ED7D31>Memory decline due to aging is a normal change.</color>

Dementia is different from such normal changes.

<color=#ED7D31>Memory decline that occurs with aging is usually limited to trivial matters.</color>

Let's simply compare the memory differences between normal elderly individuals and those with dementia.",,"<color=#ED7D31>나이가 듦에 따른 기억력의
저하는 정상적인 변화입니다. 
</color>

치매는 이러한 정상적인
변화와는 다릅니다. 

<color=#ED7D31>나이가 들면서 생기는 기억력
저하는 대개 사소한 일들에
국한되어 있습니다.</color>

간단하게 정상 노인과 치매 노인의
기억력 차이를 비교해봅시다.",
ui_know_dementia_description_normal_0,,,Memory Decline in Normal Elderly,,정상 노인의 기억력 저하,
ui_know_dementia_description_normal_1,,,Caused by the natural aging of the brain,,뇌의 자연적인 노화현상이 원인,
ui_know_dementia_description_normal_2,,,Forget parts of experiences,,경험한 것의 일부를 잊어버린다.,
ui_know_dementia_description_normal_3,,,Does not progress even if forgetfulness increases,,잊어버리는 것이 많아져도 진행 되지 않는다.,
ui_know_dementia_description_normal_4,,,Aware of the forgotten facts themselves,,잊어버린 사실을 스스로 안다.,
ui_know_dementia_description_normal_5,,,No interference with daily life,,일상생활에 지장이 없다.,
ui_know_dementia_description_dementia_0,,,Memory Decline in Elderly with Dementia,,치매 노인의 기억력 저하,
ui_know_dementia_description_dementia_1,,,Caused by brain diseases or damage,,뇌의 질병이나 손상이 원인이다.,
ui_know_dementia_description_dementia_2,,,Forget entire experiences,,경험한 것의 전체를 잊어버린다.,
ui_know_dementia_description_dementia_3,,,"Memory impairment gradually worsens, and judgment declines",,기억장애가 점차 심해지며 판단력도 저하된다.,
ui_know_dementia_description_dementia_4,,,Unaware of the forgotten facts themselves,,잊어버린 사실 자체를 모른다.,
ui_know_dementia_description_dementia_5,,,Interferes with daily life,,일상생활에 지장을 받는다.,
ui_know_dementia_sub_title_1,,,2. Diagnostic Criteria of Dementia,,2. 치매의 진단기준,
ui_know_dementia_description_5,,,"Currently, the <color=#ED7D31>DSM-V</color> (Diagnostic and Statistical Manual of Mental Disorders, 5th edition) by the American Psychiatric Association is most widely used for diagnosing dementia.

<color=#ED7D31>DSM-V is a manual of diagnostic criteria and statistics for mental disorders, created for professionals in the field of mental health.</color>",,"치매 진단에는 현재 <color=#ED7D31>미국 정신과 학회의 DSM-V</color>(diagnostic and statistical manual of mental disorder, 5th edition)진단기준이  가장 널리 사용되고 있습니다.

<color=#ED7D31>DSM-V는 정신질환 진단 및 통계 편람으로써 정신건강 분야의 전문가들을 위해 만들어졌습니다.
</color>
",
ui_know_dementia_description_6,,,"The diagnostic criteria are as follows:

<color=#77BBF3>A.</color> The development of multiple cognitive deficits manifested by <color=#ED7D31><b>both memory impairment and one (or more) of the following cognitive disturbances:</b>

1. Memory Impairment</color> (Impaired ability to learn new information or to recall previously learned information) <color=#ED7D31>

2. One (or more) of the following cognitive disturbances:
  a) Aphasia</color> (Language disturbance) 
  <color=#ED7D31>b) Apraxia</color> (Impaired ability to carry out motor activities despite intact motor function) <color=#ED7D31>
  c) Agnosia</color> (Failure to recognize or identify objects despite intact sensory function) Disturbance in executive functioning (e.g., planning, organizing, sequencing, summarizing)
",,"진단 기준은 다음과 같습니다. 

<color=#77BBF3>A.</color> 여러가지  인지 결핍이 발생하는데, <color=#ED7D31><b>다음 중 기억장애를 포함한 두 가지로 나타난다.</b>
1. 기억장애</color>(새로운 정보를 학습할 능력 장애, 과거 학습한 정보를 회상하는 능력의 장애)
<color=#ED7D31>2. 다음의 인지장애 중 하나 이상 존재
a) 실어증</color>(언어장애)
<color=#ED7D31>b) 실행증</color>(운동기능이 정상인데도 운동 활동 수행능력의 손상
<color=#ED7D31>c)실인증</color>(감각기능이 정상인데도 대상을 인지하지 못함)
실행기능(예: 기획, 구성, 배열, 요약)",
ui_know_dementia_description_7,,,"<color=#B8EF88>B.</color> The deficits in Criteria A cause significant impairment in social or occupational functioning and represent a significant decline from a previous level of functioning.

<color=#FBB57C>C.</color> The deficits do not occur exclusively during the course of delirium.

Therefore, if memory impairment is present along with at least one of the cognitive disturbances mentioned above, and Criteria B and C are met, <color=#FF0000><b>it is recommended to seek consultation and diagnosis from a specialist or medical institution.</b></color>",,"<color=#B8EF88>B.</color> 위의 장애가 사회적 및 직업적 기능의 심각한 장해를 초래하고 <b>병전의 기능 수준보다 상당히 감퇴되어 있음
</b>

<color=#FBB57C>C.</color>  장애가 섬망의 경과 중에는 나타난 것이 아님

즉, 기억장애를 포함하고 앞서 언급된 인지장애 중 하나이상이 존재하고 B와 C를 충족시킨다면 <color=#FF0000><b>전문의, 의료기관의 진료 및 상담을 받기를 권장합니다.</b>
</color>",
ui_ox_quiz_end_greeting,,,"Dementia Learning Time
Did you enjoy it?
Well done!",,"치매에 대해
알아본 시간
즐거우셨나요? 
수고하셨습니다!",
ui_ox_quiz_result_label,,,Quiz Results,,퀴즈 결과,
ui_ox_quiz_explanation,,,Explanation of Incorrect Answers,,틀린 문제 해설,
ui_ox_quiz_encourage_comment,,,Dementia can be prevented!,,"치매는 예방할 수
있답니다!",
ui_ox_quiz_help_information,,, ,,"<color=#3f3f3f><size=70>지원상담</size></color>
<color=#e4007f><size=70>1670-9979</size></color>",
ui_ox_quiz_next,,,Submit,,다음 문제,
ui_ox_quiz_how_to_play,,,How to Play O.X Quiz,,O.X 퀴즈 방법,
ui_ox_quiz_tutorial,,,Read the question and press <color=#3b92ba>O if correct</color> <color=#c64236>X if incorrect</color>!,,"문제를 읽고, <color=#3b92ba>맞으면 O를
</color>
<color=#c64236>틀리면 X를</color> 눌러주세요!",
ui_ox_quiz_start,,,Start Quiz!,,퀴즈 시작!,
ui_skip,,,Skip,,다음,
ui_prev_diagnosis,,,Back,,이전,
ui_game_pause,,,Pause,,정지,
ui_ox_quiz_continue,,,Continue,,계속 진행 하기,
ui_ox_quiz_quit,,,Quit,,그만하기,
ui_ox_quiz_description_0,,,<color=#ff0c00>Forgetfulness</color> does not lead to <color=#ff0c00>dementia</color>.,,"<color=#ff0c00>건망증</color>이 심해져서 <color=#ff0c00>치매</color>가
되는 건 <color=#ff0c00>아닙니다.</color>",
ui_ox_quiz_description_1,,,"If you can't remember what you ate for lunch,
it's just forgetfulness,",,"점심에 무엇을 먹었는지
기억이 안 나면 건망증,",
ui_ox_quiz_description_2,,,"If you can't remember whether you had lunch,
it could indicate a risk of dementia.",,"점심을 먹었는지가
기억이 안 난다면 치매 위험이
있다고 볼 수 있습니다.",
ui_imi_intro,,,Motor Imagery Task consists of three sub-tests.,,"운동심상 검사(Motor
Imagery Task)는 3개의
소검사로 구성됩니다.",
ui_imi_description_0,,,"1. Simple Reaction Time Test
2. Imagery Rotation Test
3. Response Inhibition Test",,"1. 간단한 반응속도 검사
2. 심상회전 검사
3. 반응억제 검사",
ui_imi_description_1,,,It consists of a test where you guess which hand appears.,,"나타나는 손이 어느쪽 손인지
맞추는 검사로 구성되어 있습니다.",
ui_imi_description_2,,,<color=#effe00>You can proceed if you agree to the collection of personal information.</color>,,"<color=#effe00>개인정보 수집에 동의할 경우 
진행</color>하실 수 있습니다.",
ui_consent_label,,,Agree,,개인정보 수집동의,
ui_imi_start_button_label,,,Consent to Collection of Personal Information,,개인정보 수집동의,
ui_result,,,Results,,결과,
ui_diagnosis_detail_button_label,,,Detail,,상세분석 보기,
ui_diagnosis_other_test_start,,,Main,,다른 검사 하기,
ui_diagnosis_normal,,,Normal,,정상 추정,
ui_diagnosis_risk,,,Risk,,위험 추정,
ui_diagnosis_high_risk,,,High Risk,,"고도 위험
추정",
ui_diagnosis_detail_label,,,Detail,,상세 결과,
ui_diagnosis_reaction_time,,,Reaction Time,,반응시간,
ui_imi_description_3,,,Well done. Only press when the triangle appears.,,"잘하셨습니다.
삼각형이 나올 때만
누르세요.",
ui_imi_description_4,,,"For accurate test results, we will proceed once more.",,"정확한 검사 결과를 위해 

한 번 더 진행하겠습니다",
ui_imi_left_hand,,,Left Hand,,왼손,
ui_imi_right_hand,,,Right Hand,,오른손,
ui_imi_focus,,,Focus!,,집중하세요!,
ui_explanation,,,Explanation,,설명,
ui_imi_description_5,,,"A circle will appear in the center of the screen. Focus on the screen and watch carefully, then press the confirmation button below quickly when the circle appears.",,"화면 가운데에 동그라미가 
나타납니다.
화면을 집중하여
잘보고 있다가 동그라미가
나오면 재빠르게 아래에 있는
확인 버튼을 누르세요.",
ui_imi_description_6,,,Please guess which hand it is.,,"어느 손인지
맞춰주세요",
ui_imi_test_title_label,,,Motor Imagery 1,,운동심상 1,
ui_retry,,,Retry,,다시하기,
ui_dbs_intro,,,"This digital brain screening is a cognitive assessment program developed through collaborative research with Seoul St. Mary's Hospital of Catholic University and its faculty, utilizing MMSE (Mini-Mental State Examination) and dementia test questions.

You can proceed if you agree to the collection of personal information, including diagnostic results.
<color=#effe00>You can proceed if you agree to the collection of personal information.</color>",,"본 디지털 브레인 스크리닝은
MMSE(간이정신상태검사)와 
치매 검사 문항을 활용한 
가톨릭대학교 서울성모병원 및 해당 교수진의 협력 연구를 통하여 개발된 
인지 검사 프로그램입니다.
진단 결과 등 <color=#effe00>개인정보 수집에 
동의할 경우 진행</color>하실 수 있습니다.",
ui_dbs_year,,, ,,년,
ui_erase,,,Erase,,지우기,
ui_dbs_result_help,,,"If you score 15 points or below out of a total of 25 points, <color=yellow>there may be a decline in cognitive abilities.</color>
<size=40>(If cognitive decline continues, the risk of dementia is high.)</size>
We recommend that you undergo a precise examination by a specialist.",,"총 25점 만점 중 <color=yellow>15점 이하면 
인지능력 저하가 있을 수도 있습니다.</color>
<size=40>(인지저하가 계속될 시 치매 위험성이 높습니다.) </size>
전문가에게 정확한 검사를 
받아보시는 것을 권장합니다.
",
ui_dbs_diagnosis_range_meanings,,,"20-25 Points: Estimated Safe Group
16-19 Points: Estimated Risk Group
0-15 Points: Estimated High-Risk Group",,"20~25점 : 안전군 추정
16~19점 : 위험군 추정
0~15점 : 고도 위험군 추정",
ui_dbs_diagnosis_range_meanings_title,,,Dementia Screening Criteria Table,,치매자가검사 기준표,
ui_dbs_question_0,,,Remember the picture below,,아래 그림을 기억하세요,
ui_dbs_question_1,,,How does it look when seen from above?,,위에서 보면 어떤 모습일까요?,
ui_dbs_side_view_question,,,Here is the view from the side after stacking three shapes.,,"3개의 도형을 쌓고
옆에서 본 모습입니다.",
ui_question,,,Question,,질문,
ui_ori_calendar_intro,,,Please prepare a calendar and solve together while looking at it.,,"    달력을 준비하시고
함께 보면서 풀어보세요.",
ui_ori_intro,,,The orientation test consists of actual questions after one practice problem. Questions about the concepts of date and time will be given.,,"지남력 검사는
한번의 연습문제 진행 후
실전 문제들로 구성되어 있습니다.
날짜, 시간 개념의 문제가 출제됩니다.",
ui_ori_result_wait,,,"Well done! 
We are calculating the results, 
please wait a moment.",,"잘 하셨습니다!
결과 계산 중이니
잠시만
기다려주세요.",
ui_ori_mon,,,Mon,,월,
ui_ori_tue,,,Tue,,화,
ui_ori_wed,,,Wed,,수,
ui_ori_thu,,,Thu,,목,
ui_ori_fri,,,Fri,,금,
ui_ori_sat,,,Sat,,토,
ui_ori_sun,,,Sun,,일,
ui_day,,,Day,,일,
ui_ori_calendar_tutorial_0,,,You can confirm that you have returned to the original calendar.,,"다시 원래 달력으로 돌아
오신 것을 확인할 수
있습니다.",
ui_ori_practice,,,Practice Question,,연습문제입니다.,
ui_ori_practice_question,,,What is <color=#FAFF00>the month and day</color> today?,,"오늘은 <color=#FAFF00>몇 월
몇 일</color>인가요?",
ui_ori_practice_label,,,<Practice Question>,,<연습문제>,
ui_ori_practice_final,,,"Well done!

Now, it's time for the real test.",,"잘 하셨습니다!

이제 실전 검사
입니다.",
ui_ori_correct,,,"That's right! 
Today is",,"맞아요! 오늘은



입니다.",
ui_game_start,,,Start,,시 작,
ui_game_practice,,,Practice,,연습모드,
ui_game_practice_quit,,,Do you want to exit Practice Mode?,,"연습모드를
종료하시겠습니까?",
ui_game_ability,,,This game requires the following abilities.,,이 게임은 아래의 능력을 요합니다.,
ui_game_description_title,,,Tutorial,,게임 설명,
ui_game_selection_level,,,Please select the difficulty level,,난이도를 선택해 주세요,
ui_game_ready,,,Ready,,준비,
ui_game_continue,,,Continue,,게임 계속 하기,
ui_game_play_other_game,,,Play Another Game,,다른 게임 하기,
ui_game_ability_help,,,This game stimulates the brain's <color=#ff5a01>temporal and frontal lobes</color> to help improve memory.,,"이 게임은 뇌의 <color=#ff5a01>측두엽과 전두엽</color>을
자극하여 기억력 향상에 도움을
줍니다.",
ui_game_abililty_memory,,,Memory,,기억력,
ui_game_ability_speed,,,Processing Speed,,처리속도,
ui_game_ability_attention,,,Attention,,주의집중력,
ui_game_memory_description,,,Memorize numbers and Korean characters in order,,"숫자와 한글을
순서대로 기억하기",
ui_game_attention_description,,,Determine if the picture above matches the one below.,,"위에 그림이 아래와
일치하는지 판단하기",
ui_game_ability_help_1,,,This game stimulates the brain's <color=#ff5a01>frontal and occipital lobes</color> to help improve concentration.,,"이 게임은 뇌의 <color=#ff5a01>전두엽과 후두엽</color>을
자극하여 집중
력 향상에 도움을
줍니다.",
ui_game_attention_help_0,,,Please understand the meaning of the letters.,,글자의 뜻을 이해해주세요,
ui_game_attention_help_1,,,Please check the colors.,,색깔을 확인해주세요,
ui_game_ability_solve,,,Problem-Solving Ability,,문제해결력,
ui_game_matching_help,,,Match the Correct Name by Looking at the Picture,,"그림을 보고
알맞은 이름 맞추기",
ui_game_ability_help_2,,,This game stimulates the brain's <color=#ff5a01>temporal and frontal lobes</color> to help improve language skills.,,"이 게임은 뇌의 <color=#ff5a01>측두엽과 전두엽</color>을
자극하여 언어력 향상에 도움을
줍니다.",
ui_game_calculation_help,,,Look at the numbers and perform addition and subtraction.,,"숫자를 보고
더하기와 빼기",
ui_game_ability_help_3,,,This game stimulates the brain's <color=#ff5a01>frontal lobe</color> to help improve calculation skills.,,이 게임은 뇌의 <color=#ff5a01>전두엽</color>을 자극하여 계산력 향상에 도움을 줍니다.,
ui_game_find_shape_help_0,,,Please select the part where a different shape appeared that you just remembered.,,방금 기억한 다른모양이 나타났던 부분을 골라주세요.,
ui_game_find_shape_help_1,,,Find the One Leaf with a Different Shape,,"모양이 다른 한 가지
나뭇잎 찾기",
ui_game_ability_help_4,,,This game stimulates the brain's <color=#ff5a01>frontal and occipital lobes</color> to help improve concentration.,,"이 게임은 뇌의 <color=#ff5a01>전두엽과 후두엽</color>을
자극하여 집중력 향상에 도움을
줍니다.",
ui_game_card_my_hand,,,My Hand,,내가 가진 패,
ui_game_card_table_cards,,,Cards on the Table,,바닥에 깔린 패,
ui_game_card_help,,,Choose the card you can monopolize with your hand.,,"내가 가진 패로
독점할 수 있는 패 고르기",
ui_game_ability_help_5,,,This game stimulates the brain's <color=#ff5a01>temporal and frontal lobes</color> to help improve memory.,,"이 게임은 뇌의 <color=#ff5a01>측두엽과 전두엽</color>을
자극하여 기억력 향상에 도움을
줍니다.",
ui_game_compare_help,,,Select the animal that is larger in real life.,,"현실에서 실제로 크기가
더 큰 동물 선택하기",
ui_game_ability_help_6,,,This game stimulates the brain's <color=#ff5a01>temporal lobe</color> to help improve processing speed.,,이 게임은 뇌의 <color=#ff5a01>측두엽</color>을 자극하여 처리속도 향상에 도움을 줍니다.,
ui_game_black_stone_help_0,,,Please press the location of the black stones.,,검은 돌의 위치를 눌러주세요,
ui_game_black_stone_help_1,,,It keeps increasing. Remember where the black Go stones are!,,"점점 더 많아집니다.
검은 바둑돌이 어디 있는지 기억하세요!",
ui_game_black_stone_help_2,,,Remember the positions of the black stones.,,"검은돌의 위치
기억하기",
ui_game_which_hand_help_0,,,The spinning disc is rotating. Focus on the picture when the rotation stops!,,"회전판이 돌아갑니다.
회전이 멈추면 그림에 집중하세요!",
ui_game_which_hand_help_1,,,Look at the shape of the hand and guess whether it's the left or right hand.,,"손의 모양을 보고 왼손인지
오른손인지 맞추기",
ui_game_ability_help_7,,,This game stimulates the brain's <color=#ff5a01>parietal lobe</color> to help improve spatial perception.,,"이 게임은 뇌의 <color=#ff5a01>두정엽</color>을
자극하여 공간지각력 향상에
도움을 줍니다.",
ui_game_dig_jewel_description,,,Watch the passing gems and select the identical gem.,,"지나가는 보석을 보고
똑같은 보석 선택하기",
ui_game_direction_question,,,Which <color=#FF5A00>picture has a different direction</color>?,,"혼자 <color=#FF5A00>방향이 
다른 그림</color>은 무엇인가요?",
ui_game_direction_description,,,Find the picture facing a different direction.,,"바라보는 방향이
다른 그림 찾기",
ui_game_word_desripcion,,,Look at the word and arrange the consonants and vowels in order.,,"단어를 보고 자음과 모음
순서대로 조합하기",
ui_game_order_description,,,Watch the bill and calculate the cost of the meal.,,"계산서 보고
음식 값 계산하기",
ui_game_order_bill_title,,,Bill,,계 산 서,
ui_game_order_discount_label,,,Discount,,할인,
ui_game_question,,,Question,,질문,
ui_game_opt_description,,,Find the location of objects by referring to the direction the doctor is looking at.,,"의사가 바라보고 있는 방향을
참고해서 사물의 위치 찾기",
ui_game_hint_label,,,View Hint,,힌트 보기,
ui_game_item_count_suffix,,,x,,회,
ui_game_pair_description,,,Find Pairs of Identical Pictures,,"서로 같은 그림
짝 찾기",
ui_game_pair_help,,,"When you can't remember the picture you first saw,
please press 'View Hint' below.",,"처음 봤던 그림이 
생각나지 않을 땐
 아래의 ‘힌트보기＇를 눌러주세요",
ui_game_proverb_meaning_0,,,Explanation,,뜻 풀이,
ui_game_proverb_meaning_1,,,Interpretation,,풀이,
ui_game_point,,,View Score,,점수 보기,
ui_game_close,,,Close,,닫기,
ui_game_proverb_meaning_2,,,Proverb Meaning Explanation,,속담 뜻 풀이,
ui_game_proverb_description,,,Fill in the missing words of proverbs and complete the sentences.,,"속담의 빠진 단어와
문장 채우기",
ui_game_push_button_description,,,Press the button only when the target object appears.,,"대상 물체가 나타날 때만
버튼 누르기",
ui_game_who_help_0,,,Please watch carefully and <color=#FFE400><b>remember</b></color>.,,잘 보고 <color=#FFE400><b>기억</b></color>해주세요.,
ui_game_who_help_1,,,Please watch carefully and <color=#FFE400>remember</color>.,,잘 보고 <color=#FFE400>기억</color>해주세요.,
ui_game_who_tutorial_name_0,,,Kim Cheolsu,,김철수,
ui_game_who_help_2,,,Please watch carefully and verify.,,"잘 보고
확인해주세요.",
ui_game_who_tutorial_age,,,Age: 60s,,나이 : 60대,
ui_game_who_tutorial_job_0,,,Occupation: Police Officer,,직업 : 경찰,
ui_game_who_tutorial_question_0,,,Which statement is <color=#FE0000>correct</color> about <b>Mr. Kim Cheolsu</b>?,,"<b>김철수</b>씨에 대해
<color=#FE0000>맞는</color> 문장은?",
ui_game_who_tutorial_0_answer_0,,,He is in his 50s.,,나이는 50대이다,
ui_game_who_tutorial_0_answer_1,,,His occupation is a police officer.,,직업은 경찰이다,
ui_game_who_tutorial_name_1,,,Kim Younghee,,김영희,
ui_game_who_tutorial_job_1,,,Occupation: Pharmacist,,직업 : 약사,
ui_game_who_tutorial_hobby_0,,,Hobby: Walking,,취미 : 산책,
ui_game_who_tutorial_question_1,,,Which statement is <color=#FE0000>incorrect</color> about <b>Ms. Kim Younghee</b>?,,"<b>김영희</b>씨에 대해
<color=#FE0000>틀린</color> 문장은?",
ui_game_who_tutorial_1_answer_0,,,She is in her 50s.,,나이는 50대이다,
ui_game_who_tutorial_1_answer_1,,,Her occupation is a pharmacist.,,직업은 약사이다,
ui_game_who_tutorial_1_answer_2,,,Her hobby is walking.,,취미는 산책이다,
ui_game_who_help_3,,,"Please remember the <color=#FF0000><b>age, occupation, and hobby</b></color> of the person.",,"인물의 <color=#FF0000><b>나이, 직업, 취미</b></color>를, 기억해 주세요.",
ui_game_who_description,,,Answer the questions while remembering the personal information.,,"인물정보를 기억한
상태로 문제 맞추기",
ui_game_ability_help_7,,,This game stimulates the brain's <color=#ff5a01>parietal lobe</color> to help improve concentration.,,"이 게임은 뇌의 <color=#ff5a01>두정엽</color>을
자극하여 집중력 향상에
도움을 줍니다.",
ui_game_where_description,,,Find objects that would be in a specific place.,,"특정 장소에서
있을 만한 물건 찾기",
ui_game_ability_help_8,,,This game stimulates the brain's <color=#ff5a01>frontal and temporal lobes</color> to help improve memory and executive functions.,,"이 게임은 뇌의 <color=#ff5a01>전두엽과 측두엽</color>을
자극하여 기억력과 집행능력에
도움을 줍니다.",
ui_game_where_is_it_guide_0,,,<color=yellow>Remember</color> the place !,,장소를 <color=yellow>기억</color>하세요!,
ui_game_where_is_it_guide_1,,,Remember <color=yellow>all</color> of the places and <color=yellow>the right photos!,,장소와 <color=yellow>맞는 사진</color>을 <color=yellow>모두</color> 기억하세요!,
ui_game_where_is_it_guide_2,,,Pick <color=yellow>anything</color> that <color=yellow>goes with the place!,,장소와 <color=yellow>어울리는 것</color>을 <color=yellow>모두</color> 고르세요!,
ui_ox_quiz_title,,,Dementia Facts O.X Quiz,,치매 바로알기 O.X 퀴즈,
ui_ox_quiz_correction_label,,,Correct,,정답입니다,
ui_ox_quiz_wrong_label,,,Wrong,,틀렸습니다,
ui_complete_today_training,,,Done,,완료,
ui_language_logo,,,abc,,가,
ui_which_hand_sign_stop,,,Stop,,멈춤,
ui_register_signup_gender_male,,,Male,,남자,
ui_register_signup_gender_female,,,Female,,여자,
ui_gender_short_male,,,M,,남,
ui_gender_short_female,,,F,,여,
ui_mypage_dev_team,,,"Developed in collaboration with the medical staff of the Brain Health Centre at St. Mary's Hospital in Yeouido
cognitive psychology research team at Catholic University",,"여의도 성모병원 뇌 건강센터 의료진과
가톨릭대 인지심리 연구팀 공동 연구 개발",
ui_recommand_user_behaviour,,,"The results of the 'various reports' are not a substitute for a professional medical evaluation, so please consult with <color=#0029FF><b>a medical professional</b></color> for <color=#FF0000><b>an accurate diagnosis</b></color>.",,"‘각종 보고서’의 결과 내용은 
전문적인 의료 평가를 대체하지 못하므로, 
<color=#0029FF><b>의료 전문가</b></color>와의 자세한 <color=#FF0000><b>상담</b></color>을 통해
정확한 진단을 받아보세요.",
ui_service_best_practice_guide_line,,,"Our Sma-Care service is provided for the purpose of simple self-checking/screening of cognitive function and its condition (please note that it is not intended for medical examination, confirmation or treatment of the same) and uses a cognitive programme (based on the MMSE-K, a screening tool for dementia, and adapted for online/mobile services) developed through collaborative research with St. Mary's Hospital, Catholic University of Korea and its faculty. Even if there is a positive or negative analysis or relevant information about your health condition through this service, we recommend that you seek medical treatment and/or counselling from a specialist, healthcare provider, or medical institution regarding your own health condition and health and hygiene risks or concerns.",,"당사의 스마케어 서비스는 인지 기능과 그 상태에 대한 간이한 자가 점검/스크리닝 목적으로 제공되고 있고(이와 관련 건강검진, 그 확인 또는 그 치료를 위한 것이 아님을 유의하시기 바랍니다), 가톨릭대학교 서울성모병원 및 그 교수진의  협력 연구를 통하여 개발된 인지프로그램(치매선별검사 도구인 MMSE-K를 기반으로 이를 온라인/모 바일 서비스에 적합하게 개발된 프로그램)이 사용되고 있습니다. 본 서비스를 통하여 이용자의 건강상태에 대한 긍정적 또는 부정적 분석이나 관련 정보가 있는 경우에도 이용자 자신의 건강상태 및 보건 위생상의 위해 여부 또 는 그 우려에 대하여는 전문의, 의료기관의 진료 및/또는 상담을 받아보시기를 권장합니다. ",
ui_service_best_practice_simple_guide_line,,,We recommend that you have a professional by a professional.,,"전문가에게 정확한 검사를 
받아보시는 것을 권장합니다.",
ui_unlimited_pass_word,,,Unlimited,,무제한,
ui_know_depression,,,"Understanding
Late-life depression",,노인 우울증 알기,
ui_depression_reason,,,Causes of Depression,,우울증 원인,
ui_trait_senior_depression,,,Characteristics of \nLate-life Depression,,노인 우울증 특징,
ui_self_diagnosis_depression,,,Self-Assessment,,자가진단,
ui_management_depression,,,Management,,관리하기,
ui_meditation_method_1,,,Meditation Technicque 1,,명상법 1,
ui_meditation_method_2,,,Meditation Technicque 2,,명상법 2,
cause_depression_keyword_1,,,Genetic factors ,,유전적 요인,
cause_depression_keyword_2,,,Hormonal imbalance,,호르몬 불균형,
cause_depression_keyword_3,,,Neurotransmitter\nimbalance,,신경전달물질\n불균형,
cause_depression_keyword_4,,,Stress,,스트레스,
cause_depression_description_1,,,Depression doesn’t develop from a single cause; it arises from a combination of factors.,,하나의 원인으로만 발병하는 것이 아니라\n복합적으로 우울증이 발생하게 됩니다.,
cause_depression_description_2_1,,,Depression is known to involve numerous genes.,,우울증은 수많은 유전자가\n관여하는 것으로 알려져 있습니다.,
cause_depression_description_2_2,,,The incidence of depression among first-degree relatives is known to be two to three times higher than normal.,,직계가족의 우울증 발생은\n정상보다 2~3배 높게 나타나는 것으로\n알려져 있습니다.,
cause_depression_image_label_3,,,Cortisol,,코티솔,
cause_depression_description_3_1,,,<b>Stress</b> exposure causes our body to increase secretion of the hormone <color=#FE9E02>'cortisol'</color>.,,<b>스트레스</b>에 노출이 되면 우리 몸에서는\n호르몬인 <b><color=#FE9E02>'코티솔'</color></b>분비가 증가합니다.,
cause_depression_description_3_2,,,This puts the body into a tense state under the onslaught of stress.,,이는 스트레스의 공격에\n몸을 긴장상태로 만듭니다.,
cause_depression_description_3_3,,,"In addition, imbalances of various other hormones contribute to the development of depression.",,이 밖에 다양한 호르몬의 불균형은\n우울증 발생의 원인이 됩니다.,
cause_depression_title_4,,,※ Patients with vascular conditions,,※ 혈관성 질환 환자,
cause_depression_description_4_1,,,"Stroke, hypertension, diabetes, etc. In cases of vascular disease, when the brain is affected, the frequency of depression is higher.",,"뇌졸중, 고혈압, 당뇨 등\n혈관성 질환 환자의 경우\n뇌에 문제가 생기면서\n우울증 발생 빈도가 더 높았습니다.",
cause_depression_description_4_2,,,Careful management of these conditions is required.,,질환 관리에 더욱 주의가 필요합니다.,
character_depression_keyword_1,,,Economic hardship,,경제적 빈곤,
character_depression_keyword_2,,,Bereavement of spouse,,배우자 사별,
character_depression_keyword_3,,,Physical illness,,신체적 질환,
character_depression_keyword_4,,,Social isolation,,사회적 고립,
character_depression_description_1,,,"In old age, social and physical changes increase stress and feelings of depression.",,노년에 사회 및 신체적 변화로\n스트레스와 우울감이 증가하게 됩니다.,
character_depression_description_2_1,,,"Depression often manifests through physical symptoms, leading individuals to receive treatment only for those symptoms and miss out on proper care for depression itself.",,우울증이 신체적 증상으로\n나타나게 되면서 증상에만 치료를 받고\n우울증에 대한 진료를 못 받고\n놓치는 경우가 많습니다.,
character_depression_description_2_2,,,"Additionally, alongside depressive symptoms, delusional symptoms such as guilt, hypochondriasis, nihilism, persecutory delusions, and jealous delusions occur more frequently.",,"또한 우울증 증상과 함께\n죄책감, 건강염려증, 허무주의,\n피해망상, 질투망상 등의\n망상증상이 더 많이 나타나게 됩니다.",
self_assessment_title,,,Check (Total  items),,체크해보기 (총 {0}문항),
self_assessment_question_1,,,Sadness or depressed feelings occupy much of my day.,,슬프거나 우울한 감정이\n하루에 많은 시간을 차지해요.,
self_assessment_question_2,,,I don’t feel happy easily.,,행복감이 잘 느껴지지 않아요.,
self_assessment_question_3,,,My appetite or weight has decreased or increased compared to before.,,식욕이나 체중이 예전보다 줄거나\n늘었어요.,
self_assessment_question_4,,,My sleep time has decreased or increased compared to before.,,수면시간이 예전보다 줄거나\n늘었어요.,
self_assessment_question_5,,,I am more or less active than usual.,,평소보다 활동을 많이 하거나\n적게해요.,
self_assessment_question_6,,,I feel lethargic and drained of energy.,,기운이 없고 힘이 빠지는 느낌이에요.,
self_assessment_question_7,,,I have difficulty concentrating on my work.,,일에 집중이 잘 안돼요.,
self_assessment_question_8,,,I feel worthless or miserable.,,내 자신이 가치 없게 느껴지거나 비참해요.,
self_assessment_question_9,,,I have had thoughts of death or made plans to die.,,죽고 싶은 생각이 들거나 계획을 한 적이 있어요.,
